system:index,TCB,blue,green,ndvi,nir,presence,red,swir1,swir2,.geo
282_0,0.0832859157586936,0.08156992,0.06315178,-0.29275617,0.022312721,0.0,0.040784955,0.0122517105,0.005192775,
285_0,0.12214177342168987,0.08662747,0.070670485,-0.13363282,0.041731555,0.0,0.054605324,0.04562614,0.029020064,
284_0,0.09195069150039925,0.08173219,0.06374678,-0.24633211,0.026396627,0.0,0.043651804,0.02206931,0.011223973,
283_0,0.08635588577496821,0.08351721,0.06388201,-0.27054942,0.023881374,0.0,0.041596327,0.01503742,0.005841872,
290_0,0.30746373988613485,0.110671125,0.10142148,0.08635448,0.11670232,0.0,0.09814895,0.2226134,0.2254532,
291_0,0.26190216931998733,0.10631676,0.09636393,0.02354472,0.09582302,0.0,0.09141456,0.18015161,0.16641237,
293_0,0.2617054221898317,0.106479034,0.096958935,0.03529751,0.0971753,0.0,0.0905491,0.17487769,0.17019878,
292_0,0.26204794897362593,0.10715518,0.09712121,0.022837758,0.09387572,0.0,0.08968364,0.1805573,0.17339016,
295_0,0.2590292542085052,0.10239513,0.09065729,0.018635456,0.08944023,0.0,0.08616769,0.21360718,0.15083404,
294_0,0.2688930820770562,0.107047,0.09679666,0.03439562,0.099636465,0.0,0.09301026,0.19051012,0.16795398,
226_0,0.2898860906906426,0.102313995,0.09257753,0.042128593,0.10804769,1.0,0.09931192,0.26426384,0.13479592,
224_0,0.2666402201905847,0.098175995,0.086275876,0.031590853,0.0984735,1.0,0.092442304,0.2518228,0.10612744,
227_0,0.28682043284475806,0.09325367,0.07986604,-0.010423528,0.10142148,1.0,0.10355809,0.3141632,0.09111706,
231_0,0.3045397279560566,0.10491038,0.09522801,0.08589116,0.11386252,1.0,0.095850065,0.2723505,0.1741745,
228_0,0.2862650781489909,0.10158376,0.091766156,0.060483858,0.1066954,1.0,0.09452482,0.24203223,0.166196,
225_0,0.24236079741716388,0.090792514,0.07618782,-0.045115445,0.07269892,1.0,0.079568535,0.2638852,0.10423424,
230_0,0.2875653083488345,0.09787849,0.08570792,0.055766787,0.11264546,1.0,0.10074534,0.27037618,0.11786529,
229_0,0.2628863026574254,0.097148255,0.083841756,0.024878392,0.0997176,1.0,0.094876416,0.24711683,0.09257753,
237_0,0.25679723992198705,0.10547835,0.09582302,0.052495327,0.098960325,1.0,0.08908863,0.18069252,0.14299077,
236_0,0.16454999524094166,0.0870602,0.07161709,-0.07431751,0.049520727,1.0,0.057472173,0.14569534,0.049033903,
233_0,0.27932461078241466,0.102124676,0.090062276,0.04449581,0.09777031,1.0,0.08944023,0.2536619,0.15732501,
232_0,0.16209282358810306,0.084761314,0.06815524,-0.13069911,0.042542927,1.0,0.05533556,0.16319393,0.045436822,
234_0,0.22456232124790548,0.09241526,0.07973081,0.013935473,0.07772943,1.0,0.07559281,0.20976669,0.08952136,
235_0,0.2128874754294753,0.09130638,0.077918746,-0.026162788,0.06342223,1.0,0.066829994,0.22044975,0.08527518,
239_0,0.27142118894904854,0.100312606,0.089386135,0.05131639,0.09557961,1.0,0.08624883,0.25363484,0.138988,
238_0,0.30447079364210367,0.10804769,0.10017738,0.05697093,0.11164477,1.0,0.09960942,0.25790808,0.1782584,
271_0,0.3550494174577296,0.11832506,0.11191522,0.118589416,0.15013084,0.0,0.11829802,0.24030131,0.25068688,
273_0,0.3045690911732614,0.10691176,0.09733758,0.103012286,0.12032645,0.0,0.09785145,0.21779926,0.22180203,
240_0,0.3077601192966104,0.10180012,0.09154979,0.10339044,0.12454558,1.0,0.10120512,0.26066676,0.17393109,
244_0,0.25358181976377964,0.098365314,0.08870999,0.05832282,0.090792514,1.0,0.080785595,0.23183599,0.11908235,
243_0,0.2620699425064027,0.097986676,0.088412486,0.0528587,0.09238821,1.0,0.083111525,0.2450884,0.12927859,
250_0,0.25689130307286984,0.097148255,0.085248135,0.04362143,0.08573496,1.0,0.07856784,0.24725206,0.137798,
